epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70287,1.91297,3.31377,1.37188,0.22735,0.26889,0.17631,0.06797,1.82064,2.64827,1.07771,0.000366904,0.000366904,0.000366904
2,12.4817,1.61759,2.28287,1.16205,0.2855,0.52607,0.38946,0.16978,1.57853,2.31959,1.09165,0.000729939,0.000729939,0.000729939
3,18.0839,1.55933,2.018,1.12731,0.44244,0.67274,0.51893,0.24255,1.56769,1.85095,1.0396,0.00108564,0.00108564,0.00108564
4,23.6653,1.55483,1.82483,1.11704,0.48618,0.66138,0.56148,0.28272,1.50849,1.67157,1.03702,0.001078,0.001078,0.001078
5,29.1148,1.50441,1.66342,1.08285,0.64063,0.78597,0.74794,0.39732,1.43803,1.3998,0.98626,0.001067,0.001067,0.001067
6,34.5309,1.47062,1.5845,1.07395,0.65709,0.76514,0.75115,0.3991,1.47035,1.33372,0.9904,0.00105601,0.00105601,0.00105601
7,39.9668,1.42709,1.45796,1.04748,0.77528,0.83027,0.8413,0.44928,1.39207,1.22904,0.95526,0.00104501,0.00104501,0.00104501
8,45.4217,1.43719,1.45126,1.04428,0.68996,0.78053,0.75504,0.3999,1.42343,1.31455,0.94959,0.00103401,0.00103401,0.00103401
9,50.9274,1.41398,1.36598,1.04049,0.74552,0.71833,0.81126,0.45792,1.40738,1.23557,0.95896,0.00102301,0.00102301,0.00102301
10,56.4151,1.41716,1.31806,1.03692,0.83242,0.88631,0.92504,0.45878,1.56506,1.08659,0.98897,0.00101201,0.00101201,0.00101201
11,61.8766,1.38115,1.30348,1.02848,0.78826,0.84546,0.87667,0.46576,1.44826,1.12095,0.97083,0.00100101,0.00100101,0.00100101
12,67.2455,1.39971,1.28626,1.03728,0.73876,0.79169,0.81427,0.44939,1.36092,1.20658,0.9802,0.000990012,0.000990012,0.000990012
13,72.6415,1.37555,1.224,1.02981,0.79777,0.84542,0.87628,0.49568,1.35525,1.07354,0.96084,0.000979013,0.000979013,0.000979013
14,78.1199,1.38461,1.20455,1.02555,0.65045,0.74427,0.69408,0.36545,1.4332,1.34578,0.96712,0.000968014,0.000968014,0.000968014
15,83.5581,1.37075,1.20065,1.02009,0.74298,0.79432,0.82048,0.47609,1.34355,1.15826,0.93253,0.000957015,0.000957015,0.000957015
